year,loss_m2
2001,1761270288.0597074
2002,1390596264.5738378
2003,934308349.2121582
2004,1948445426.2733142
2005,1447078653.6130614
2006,1417743202.6618876
2007,2008785406.3847535
2008,1733358202.2877648
2009,1767343435.4370546
2010,1477360944.8524122
2011,1428457352.5990746
2012,1720860654.9345925
2013,1046374254.178709
2014,1517727326.6487684
2015,1059786434.6075095
2016,2200473291.362159
2017,3185577750.797057
2018,2643757227.3578763
2019,2017300756.0956852
2020,2438498089.1719985
2021,2032363017.16755
2022,2020885808.0070846
2023,1501940945.8576367
2024,1626110316.8275828
2025,1415061263.097946
