year,ring,reference_ring,n_ring,n_reference,exposure_probability,reference_probability,ht_difference,hajek_difference
2001,0_5km,gt_50km,57928,484014,0.05585235879027694,0.4666711018422369,247.90084967182543,247.90084967182565
2001,10_25km,gt_50km,179788,484014,0.17334594465865058,0.4666711018422369,176.15787983596488,176.15787983596488
2001,25_50km,gt_50km,254742,484014,0.2456142380705829,0.4666711018422369,214.23570422575972,214.23570422576017
2001,5_10km,gt_50km,60691,484014,0.058516356638252616,0.4666711018422369,218.16191992898666,218.16191992898644
2002,0_5km,gt_50km,60603,466213,0.05907479415013028,0.45445666064575496,-103.89568827938365,-103.89568827938365
2002,10_25km,gt_50km,183660,466213,0.1790287063942862,0.45445666064575496,-69.45418609248986,-69.45418609249009
2002,25_50km,gt_50km,252285,466213,0.2459232124179598,0.45445666064575496,-33.53406255314121,-33.534062553140984
2002,5_10km,gt_50km,63108,466213,0.06151662639186875,0.45445666064575496,-35.41099867553203,-35.41099867553203
2003,0_5km,gt_50km,61240,463576,0.05970114332953783,0.4519271263901671,-171.72226381927442,-171.72226381927453
2003,10_25km,gt_50km,186113,463576,0.18143629798318542,0.4519271263901671,-50.98001446133674,-50.980014461336964
2003,25_50km,gt_50km,251012,463576,0.2447044968882095,0.4519271263901671,-34.62314215928234,-34.62314215928245
2003,5_10km,gt_50km,63835,463576,0.062230935408900186,0.4519271263901671,-133.71166170853837,-133.7116617085385
2004,0_5km,gt_50km,61677,463572,0.060129565628549285,0.4519412908792232,122.646164527888,122.64616452788846
2004,10_25km,gt_50km,186942,463572,0.18225175118329784,0.4519412908792232,324.43797067818514,324.4379706781856
2004,25_50km,gt_50km,249369,463572,0.24311249981720426,0.4519412908792232,78.10573742662291,78.10573742662336
2004,5_10km,gt_50km,64175,463572,0.06256489249172545,0.4519412908792232,153.61202290887036,153.61202290887059
2005,0_5km,gt_50km,65067,435516,0.06350286102997078,0.42504667533970764,14.871113332961386,14.871113332961158
2005,10_25km,gt_50km,198943,435516,0.1941606295339493,0.42504667533970764,36.70389094047687,36.70389094047687
2005,25_50km,gt_50km,257135,435516,0.2509537579870217,0.42504667533970764,-45.97034714270512,-45.97034714270535
2005,5_10km,gt_50km,67970,435516,0.06633607610935059,0.42504667533970764,78.21805272135543,78.2180527213552
2006,0_5km,gt_50km,67113,418997,0.06554912888310684,0.40923350699022715,292.4181578871662,292.4181578871662
2006,10_25km,gt_50km,205683,418997,0.20089016250300334,0.40923350699022715,390.95419246544884,390.9541924654493
