cohort_year,year,event_time,n_treated_cells,n_eligible_control_cells,buffer_km
2002,2001,-1,11294,918544,10.0
2002,2002,0,11294,902158,10.0
2002,2003,1,11294,900701,10.0
2002,2004,2,11294,899883,10.0
2002,2005,3,11294,891594,10.0
2002,2006,4,11294,886527,10.0
2002,2007,5,11294,876285,10.0
2002,2008,6,11294,862609,10.0
2002,2009,7,11294,836913,10.0
2002,2010,8,11294,830865,10.0
2002,2011,9,11294,799795,10.0
2002,2012,10,11294,794329,10.0
2002,2013,11,11294,787461,10.0
2002,2014,12,11294,785348,10.0
2002,2015,13,11294,785348,10.0
2002,2016,14,11294,785348,10.0
2002,2017,15,11294,785348,10.0
2002,2018,16,11294,735060,10.0
2002,2019,17,11294,735054,10.0
2002,2020,18,11294,691507,10.0
2002,2021,19,11294,680129,10.0
2002,2022,20,11294,680129,10.0
2002,2023,21,11294,680129,10.0
2002,2024,22,11294,640919,10.0
2002,2025,23,11294,631840,10.0
2003,2001,-2,93,918544,10.0
2003,2002,-1,93,902158,10.0
2003,2003,0,93,900701,10.0
2003,2004,1,93,899883,10.0
2003,2005,2,93,891594,10.0
2003,2006,3,93,886527,10.0
2003,2007,4,93,876285,10.0
2003,2008,5,93,862609,10.0
2003,2009,6,93,836913,10.0
2003,2010,7,93,830865,10.0
2003,2011,8,93,799795,10.0
2003,2012,9,93,794329,10.0
2003,2013,10,93,787461,10.0
2003,2014,11,93,785348,10.0
2003,2015,12,93,785348,10.0
2003,2016,13,93,785348,10.0
2003,2017,14,93,785348,10.0
2003,2018,15,93,735060,10.0
2003,2019,16,93,735054,10.0
2003,2020,17,93,691507,10.0
2003,2021,18,93,680129,10.0
2003,2022,19,93,680129,10.0
2003,2023,20,93,680129,10.0
2003,2024,21,93,640919,10.0
2003,2025,22,93,631840,10.0
2004,2001,-3,41,918544,10.0
2004,2002,-2,41,902158,10.0
2004,2003,-1,41,900701,10.0
2004,2004,0,41,899883,10.0
2004,2005,1,41,891594,10.0
2004,2006,2,41,886527,10.0
2004,2007,3,41,876285,10.0
2004,2008,4,41,862609,10.0
2004,2009,5,41,836913,10.0
2004,2010,6,41,830865,10.0
2004,2011,7,41,799795,10.0
2004,2012,8,41,794329,10.0
2004,2013,9,41,787461,10.0
2004,2014,10,41,785348,10.0
2004,2015,11,41,785348,10.0
2004,2016,12,41,785348,10.0
2004,2017,13,41,785348,10.0
2004,2018,14,41,735060,10.0
2004,2019,15,41,735054,10.0
2004,2020,16,41,691507,10.0
2004,2021,17,41,680129,10.0
2004,2022,18,41,680129,10.0
2004,2023,19,41,680129,10.0
2004,2024,20,41,640919,10.0
2004,2025,21,41,631840,10.0
2005,2001,-4,1104,918544,10.0
2005,2002,-3,1104,902158,10.0
2005,2003,-2,1104,900701,10.0
2005,2004,-1,1104,899883,10.0
2005,2005,0,1104,891594,10.0
2005,2006,1,1104,886527,10.0
2005,2007,2,1104,876285,10.0
2005,2008,3,1104,862609,10.0
2005,2009,4,1104,836913,10.0
2005,2010,5,1104,830865,10.0
2005,2011,6,1104,799795,10.0
2005,2012,7,1104,794329,10.0
2005,2013,8,1104,787461,10.0
2005,2014,9,1104,785348,10.0
2005,2015,10,1104,785348,10.0
2005,2016,11,1104,785348,10.0
2005,2017,12,1104,785348,10.0
2005,2018,13,1104,735060,10.0
2005,2019,14,1104,735054,10.0
2005,2020,15,1104,691507,10.0
2005,2021,16,1104,680129,10.0
2005,2022,17,1104,680129,10.0
2005,2023,18,1104,680129,10.0
2005,2024,19,1104,640919,10.0
2005,2025,20,1104,631840,10.0
2006,2001,-5,773,918544,10.0
2006,2002,-4,773,902158,10.0
2006,2003,-3,773,900701,10.0
2006,2004,-2,773,899883,10.0
2006,2005,-1,773,891594,10.0
2006,2006,0,773,886527,10.0
2006,2007,1,773,876285,10.0
2006,2008,2,773,862609,10.0
2006,2009,3,773,836913,10.0
2006,2010,4,773,830865,10.0
2006,2011,5,773,799795,10.0
2006,2012,6,773,794329,10.0
2006,2013,7,773,787461,10.0
2006,2014,8,773,785348,10.0
2006,2015,9,773,785348,10.0
2006,2016,10,773,785348,10.0
2006,2017,11,773,785348,10.0
2006,2018,12,773,735060,10.0
2006,2019,13,773,735054,10.0
2006,2020,14,773,691507,10.0
2006,2021,15,773,680129,10.0
2006,2022,16,773,680129,10.0
2006,2023,17,773,680129,10.0
2006,2024,18,773,640919,10.0
2006,2025,19,773,631840,10.0
2007,2001,-6,4207,918544,10.0
2007,2002,-5,4207,902158,10.0
2007,2003,-4,4207,900701,10.0
2007,2004,-3,4207,899883,10.0
2007,2005,-2,4207,891594,10.0
2007,2006,-1,4207,886527,10.0
2007,2007,0,4207,876285,10.0
2007,2008,1,4207,862609,10.0
2007,2009,2,4207,836913,10.0
2007,2010,3,4207,830865,10.0
2007,2011,4,4207,799795,10.0
2007,2012,5,4207,794329,10.0
2007,2013,6,4207,787461,10.0
2007,2014,7,4207,785348,10.0
2007,2015,8,4207,785348,10.0
2007,2016,9,4207,785348,10.0
2007,2017,10,4207,785348,10.0
2007,2018,11,4207,735060,10.0
2007,2019,12,4207,735054,10.0
2007,2020,13,4207,691507,10.0
2007,2021,14,4207,680129,10.0
2007,2022,15,4207,680129,10.0
2007,2023,16,4207,680129,10.0
2007,2024,17,4207,640919,10.0
2007,2025,18,4207,631840,10.0
2008,2001,-7,2662,918544,10.0
2008,2002,-6,2662,902158,10.0
2008,2003,-5,2662,900701,10.0
2008,2004,-4,2662,899883,10.0
2008,2005,-3,2662,891594,10.0
2008,2006,-2,2662,886527,10.0
2008,2007,-1,2662,876285,10.0
2008,2008,0,2662,862609,10.0
2008,2009,1,2662,836913,10.0
2008,2010,2,2662,830865,10.0
2008,2011,3,2662,799795,10.0
2008,2012,4,2662,794329,10.0
2008,2013,5,2662,787461,10.0
2008,2014,6,2662,785348,10.0
2008,2015,7,2662,785348,10.0
2008,2016,8,2662,785348,10.0
2008,2017,9,2662,785348,10.0
2008,2018,10,2662,735060,10.0
2008,2019,11,2662,735054,10.0
2008,2020,12,2662,691507,10.0
2008,2021,13,2662,680129,10.0
2008,2022,14,2662,680129,10.0
2008,2023,15,2662,680129,10.0
2008,2024,16,2662,640919,10.0
2008,2025,17,2662,631840,10.0
2009,2001,-8,14394,918544,10.0
2009,2002,-7,14394,902158,10.0
