buffer_km,cohort_year,event_time,year,treated_mean_loss_m2,control_mean_loss_m2,difference_m2,n_treated_rows,n_control_rows
10.0,2002,-1,2001,59.36533778766694,1612.6378822880713,-1553.2725445004044,11294,918544
10.0,2003,-2,2001,5402.907280646108,1612.6378822880713,3790.2693983580366,93,918544
10.0,2003,-1,2002,350.987772505308,1303.4142916948167,-952.4265191895088,93,902158
10.0,2004,-3,2001,1943.5918491941843,1612.6378822880713,330.953966906113,41,918544
10.0,2004,-2,2002,134.85015590673197,1303.4142916948167,-1168.5641357880847,41,902158
10.0,2004,-1,2003,279.12500297732464,892.8384038987729,-613.7134009214483,41,900701
10.0,2005,-4,2001,570.3558269252491,1612.6378822880713,-1042.2820553628221,1104,918544
10.0,2005,-3,2002,1034.6959347617867,1303.4142916948167,-268.71835693303,1104,902158
10.0,2005,-2,2003,515.3497795534256,892.8384038987729,-377.48862434534726,1104,900701
10.0,2005,-1,2004,587.0149525080055,1803.6742089484121,-1216.6592564404066,1104,899883
10.0,2006,-5,2001,3051.778447108265,1612.6378822880713,1439.1405648201937,773,918544
10.0,2006,-4,2002,2531.8750338968603,1303.4142916948167,1228.4607422020435,773,902158
10.0,2006,-3,2003,1015.3261102527619,892.8384038987729,122.48770635398898,773,900701
10.0,2006,-2,2004,2866.5715291313277,1803.6742089484121,1062.8973201829156,773,899883
10.0,2006,-1,2005,1870.2228134665797,1338.8000554002924,531.4227580662873,773,891594
10.0,2007,-6,2001,737.896090670037,1612.6378822880713,-874.7417916180343,4207,918544
10.0,2007,-5,2002,442.8590416257302,1303.4142916948167,-860.5552500690865,4207,902158
10.0,2007,-4,2003,303.53405870016707,892.8384038987729,-589.3043451986058,4207,900701
10.0,2007,-3,2004,434.79355906288527,1803.6742089484121,-1368.880649885527,4207,899883
10.0,2007,-2,2005,385.52942061322045,1338.8000554002924,-953.2706347870719,4207,891594
10.0,2007,-1,2006,391.25868671248526,1301.1502789210383,-909.891592208553,4207,886527
10.0,2008,-7,2001,1395.4551846244738,1612.6378822880713,-217.18269766359754,2662,918544
10.0,2008,-6,2002,1773.8993005750178,1303.4142916948167,470.4850088802011,2662,902158
10.0,2008,-5,2003,1462.070212295021,892.8384038987729,569.2318083962482,2662,900701
10.0,2008,-4,2004,1658.0958552567524,1803.6742089484121,-145.5783536916597,2662,899883
10.0,2008,-3,2005,1256.0869196606038,1338.8000554002924,-82.7131357396886,2662,891594
10.0,2008,-2,2006,1168.575057315825,1301.1502789210383,-132.5752216052133,2662,886527
10.0,2008,-1,2007,874.3108942277188,1866.6295399983055,-992.3186457705867,2662,876285
10.0,2009,-8,2001,598.6520442257497,1612.6378822880713,-1013.9858380623216,14394,918544
10.0,2009,-7,2002,476.5291894567035,1303.4142916948167,-826.8851022381132,14394,902158
10.0,2009,-6,2003,261.250567904586,892.8384038987729,-631.5878359941869,14394,900701
10.0,2009,-5,2004,667.6312488564939,1803.6742089484121,-1136.0429600919183,14394,899883
10.0,2009,-4,2005,448.78744506376984,1338.8000554002924,-890.0126103365226,14394,891594
10.0,2009,-3,2006,366.5007405742797,1301.1502789210383,-934.6495383467586,14394,886527
10.0,2009,-2,2007,367.530544216526,1866.6295399983055,-1499.0989957817796,14394,876285
10.0,2009,-1,2008,413.79218049040304,1671.3777670927716,-1257.5855866023685,14394,862609
10.0,2010,-8,2002,910.2799337093846,1303.4142916948167,-393.1343579854321,1118,902158
10.0,2010,-7,2003,312.87843059133155,892.8384038987729,-579.9599733074413,1118,900701
10.0,2010,-6,2004,1159.3741740456926,1803.6742089484121,-644.3000349027195,1118,899883
10.0,2010,-5,2005,659.5992239862337,1338.8000554002924,-679.2008314140587,1118,891594
10.0,2010,-4,2006,1334.9243703338047,1301.1502789210383,33.77409141276644,1118,886527
10.0,2010,-3,2007,564.1857995784021,1866.6295399983055,-1302.4437404199034,1118,876285
10.0,2010,-2,2008,826.6227487246094,1671.3777670927716,-844.7550183681622,1118,862609
10.0,2010,-1,2009,1411.1248968563877,1658.6272485468437,-247.50235169045595,1118,836913
10.0,2011,-8,2003,1747.303822034448,892.8384038987729,854.4654181356752,12195,900701
10.0,2011,-7,2004,3492.042664733479,1803.6742089484121,1688.3684557850668,12195,899883
10.0,2011,-6,2005,2361.3614692582382,1338.8000554002924,1022.5614138579458,12195,891594
10.0,2011,-5,2006,2585.4115869236407,1301.1502789210383,1284.2613080026024,12195,886527
10.0,2011,-4,2007,3021.4843266131925,1866.6295399983055,1154.854786614887,12195,876285
10.0,2011,-3,2008,1892.865007665182,1671.3777670927716,221.48724057241043,12195,862609
