Group,Time,"ATT(g, t)",Post,Std. Error,[95% Pointwise,Conf. Band],
2002,2002,-28.8039,1,21.8904,-71.7091,14.1012,
2002,2003,469.1218,1,18.4417,432.976,505.2676,*
2002,2004,-263.2874,1,22.7054,-307.79,-218.7847,*
2002,2005,105.7792,1,21.17,64.286,147.2724,*
2002,2006,405.4238,1,21.7086,362.8749,447.9727,*
2002,2007,-431.5238,1,25.9076,-482.3027,-380.745,*
2002,2008,-397.1585,1,27.8942,-451.8312,-342.4859,*
2002,2009,15.1095,1,22.192,-28.3868,58.6058,
2002,2010,116.9804,1,22.2804,73.3108,160.6499,*
2002,2011,167.0304,1,22.3323,123.2591,210.8018,*
2002,2012,100.5796,1,23.9668,53.6047,147.5544,*
2002,2013,114.1118,1,22.5491,69.9156,158.3081,*
2002,2014,-262.0382,1,24.8287,-310.7025,-213.374,*
2002,2015,129.6533,1,22.0376,86.4596,172.847,*
2002,2016,-477.7147,1,66.1668,-607.4016,-348.0278,*
2002,2017,-1434.837,1,45.9575,-1524.9137,-1344.7603,*
2002,2018,-996.4581,1,32.9071,-1060.9559,-931.9603,*
2002,2019,-693.3256,1,27.896,-748.0016,-638.6495,*
2002,2020,-1028.9618,1,39.8774,-1107.1215,-950.8022,*
2002,2021,-632.6872,1,27.415,-686.4206,-578.9538,*
2002,2022,-495.3516,1,27.6255,-549.4975,-441.2057,*
2002,2023,132.2864,1,62.6747,9.444,255.1288,*
2002,2024,114.5927,1,44.7628,26.8577,202.3277,*
2002,2025,135.1736,1,40.0804,56.6159,213.7313,*
2003,2002,-5085.8675,0,1774.9589,-8564.7869,-1606.9482,*
2003,2003,241.1639,1,137.8518,-29.0256,511.3535,
2003,2004,237.1123,1,255.1348,-262.952,737.1765,
2003,2005,591.1785,1,311.9834,-20.309,1202.666,
2003,2006,319.8575,1,196.1578,-64.6118,704.3267,
2003,2007,-703.7535,1,145.8512,-989.6219,-417.8852,*
2003,2008,-297.7112,1,206.5033,-702.4575,107.0352,
2003,2009,217.0915,1,206.9951,-188.6188,622.8018,
2003,2010,147.3129,1,217.2267,-278.4514,573.0772,
2003,2011,384.6218,1,267.0668,-138.8291,908.0727,
2003,2012,3796.545,1,804.0431,2220.6205,5372.4694,*
2003,2013,-14.6837,1,146.8138,-302.4387,273.0713,
2003,2014,163.1575,1,357.8243,-538.1782,864.4932,
2003,2015,-96.0427,1,147.7305,-385.5945,193.5091,
2003,2016,-934.5586,1,161.4585,-1251.0172,-618.1,*
2003,2017,-1666.9326,1,194.3336,-2047.8264,-1286.0388,*
2003,2018,-1186.8052,1,170.6926,-1521.3627,-852.2476,*
2003,2019,-680.935,1,224.7416,-1121.4286,-240.4414,*
2003,2020,-1386.976,1,155.9565,-1692.6507,-1081.3012,*
2003,2021,-814.7774,1,164.3572,-1136.9175,-492.6372,*
2003,2022,-815.7624,1,143.6144,-1097.2467,-534.2781,*
2003,2023,171.0188,1,393.057,-599.3729,941.4104,
2003,2024,-147.8164,1,168.9621,-478.9822,183.3493,
2003,2025,-180.8553,1,152.1272,-479.0246,117.3139,
2004,2002,-1842.6897,0,592.3118,-3003.6208,-681.7586,*
2004,2003,678.9383,0,139.4877,405.5424,952.3343,*
2004,2004,7.7326,1,629.0125,-1225.132,1240.5972,
2004,2005,-55.7124,1,272.1451,-589.1167,477.692,
2004,2006,330.6761,1,337.6265,-331.0719,992.4241,
2004,2007,-437.7063,1,348.6982,-1121.1547,245.7421,
2004,2008,-196.6847,1,490.8324,-1158.7161,765.3467,
2004,2009,217.6588,1,409.6192,-585.1949,1020.5125,
2004,2010,-271.9463,1,289.2861,-838.947,295.0544,
