group,att,se,n_group_time_effects,t,p,ci_low,ci_high,significance
2002,-214.01272736453555,6.766418985355647,24,-31.62865436321882,1.490922361890606e-219,-227.27490857583263,-200.75054615323847,***
2003,-115.58914777934997,56.73668390795339,23,-2.037291216505986,0.04162086752054173,-226.79304823893864,-4.385247319761319,*
2004,-368.0254795304175,105.37651675007076,22,-3.4924809709101563,0.000478555692256928,-574.5634523605562,-161.4875067002788,***
2005,-132.06952341903647,32.10726428199873,21,-4.113384505732636,3.89900151629657e-05,-194.99976141175398,-69.13928542631896,***
2006,-766.3325387075813,94.89079672176504,20,-8.075941663284697,6.695788896337487e-16,-952.3185002822408,-580.3465771329218,***
2007,-754.6125621733418,12.691981324703406,19,-59.455851916877606,0.0,-779.4888455697604,-729.7362787769231,***
2008,32.53019646731472,30.768773174508585,18,1.0572471083853756,0.2903988252988843,-27.77659895472211,92.83699188935154,
2009,86.80747223668345,13.331859280652388,17,6.511280265511141,7.451296816713571e-11,60.677028046604775,112.93791642676213,***
2010,-1199.4254476448111,43.546244631320576,16,-27.543717209132794,5.262741378942799e-167,-1284.7760871221994,-1114.0748081674228,***
2011,-1087.1510596858834,34.11148840845205,15,-31.87052545665267,6.840249625460964e-223,-1154.0095769664495,-1020.2925424053174,***
2012,-454.3046140724195,67.83881814793742,14,-6.696823831478147,2.1299813631988133e-11,-587.2686976423768,-321.3405305024622,***
2013,1259.034832870534,214.69912107618094,13,5.8641825199824416,4.5135078704253395e-09,838.2245555612194,1679.8451101798487,***
2014,-510.4152297995438,95.26008279897009,12,-5.358122886337258,8.409103964191605e-08,-697.1249920855252,-323.70546751356244,***
2018,223.75481033559632,39.42297588041574,8,5.6757463214934925,1.380852853299624e-08,146.48577760998148,301.02384306121115,***
2019,1842.2755923785862,740.0724433947597,7,2.489317915862331,0.012798846007782626,391.7336033248573,3292.817581432315,*
2020,345.28249571179475,36.100849503797235,6,9.56438700079555,1.1286834602546952e-21,274.5248306843522,416.0401607392373,***
2021,1072.7752792050758,78.38050782553238,5,13.68676101962713,1.2181960537012267e-42,919.1494838670324,1226.4010745431192,***
2024,-351.2366213905998,49.4549067622288,2,-7.102159206957738,1.228226202051514e-12,-448.16823864456825,-254.30500413663134,***
2025,536.2800466041841,162.0704010019571,1,3.3089326816542415,0.000936523521340674,218.6220606403482,853.93803256802,***
