group,att,se_traditional,se_spatial_hac,n_group_time_effects,se_ratio_hac_to_traditional,ci_low_traditional,ci_high_traditional,ci_low_spatial_hac,ci_high_spatial_hac,p_traditional,p_spatial_hac,sig_traditional,sig_spatial_hac
2002,-214.01272736453555,6.766418985355647,7.278043904564441,24,1.075612361622313,-227.27490857583263,-200.75054615323847,-228.27769341748186,-199.74776131158924,1.490922361890606e-219,4.704773127611961e-190,***,***
2003,-115.58914777934997,56.73668390795339,56.520368146701905,23,0.9961873739113406,-226.79304823893864,-4.385247319761319,-226.3690693468857,-4.809226211814234,0.04162086752054173,0.0408461462804446,*,*
2004,-368.0254795304175,105.37651675007076,104.14800793848909,22,0.9883417211968069,-574.5634523605562,-161.4875067002788,-572.1555750898561,-163.89538397097888,0.000478555692256928,0.0004098206967658849,***,***
2005,-132.06952341903647,32.10726428199873,32.31618363552579,21,1.006506918549401,-194.99976141175398,-69.13928542631896,-195.409243344667,-68.72980349340592,3.89900151629657e-05,4.3737875449556874e-05,***,***
2006,-766.3325387075813,94.89079672176504,94.90059655032974,20,1.0001032748053895,-952.3185002822408,-580.3465771329218,-952.3377079462276,-580.327369468935,6.695788896337487e-16,6.741711015448212e-16,***,***
2007,-754.6125621733418,12.691981324703406,13.350495690614398,19,1.0518842841841622,-779.4888455697604,-729.7362787769231,-780.7795337269459,-728.4455906197376,0.0,0.0,***,***
2008,32.53019646731472,30.768773174508585,30.925264611045147,18,1.0050860473262617,-27.77659895472211,92.83699188935154,-28.083322170333773,93.1437151049632,0.2903988252988843,0.2928467580462613,,
2009,86.80747223668345,13.331859280652388,13.737446739333526,17,1.0304224227201182,60.677028046604775,112.93791642676213,59.88207662758974,113.73286784577716,7.451296816713571e-11,2.631935493604751e-10,***,***
2010,-1199.4254476448111,43.546244631320576,43.68435246099867,16,1.0031715210082377,-1284.7760871221994,-1114.0748081674228,-1285.0467784683685,-1113.8041168212537,5.262741378942799e-167,5.788779502969637e-166,***,***
2011,-1087.1510596858834,34.11148840845205,34.36217175394139,15,1.0073489418722412,-1154.0095769664495,-1020.2925424053174,-1154.5009163236086,-1019.8012030481583,6.840249625460964e-223,1.1083243432455314e-219,***,***
2012,-454.3046140724195,67.83881814793742,67.94168732315568,14,1.0015163762875987,-587.2686976423768,-321.3405305024622,-587.4703212258046,-321.1389069190344,2.1299813631988133e-11,2.2828360265020856e-11,***,***
2013,1259.034832870534,214.69912107618094,214.68375856315183,13,0.9999284463161651,838.2245555612194,1679.8451101798487,838.2546660867565,1679.8149996543116,4.5135078704253395e-09,4.5021085545084845e-09,***,***
2014,-510.4152297995438,95.26008279897009,95.41663835852403,12,1.0016434539521062,-697.1249920855252,-323.70546751356244,-697.4318409822508,-323.3986186168367,8.409103964191605e-08,8.827970660508389e-08,***,***
2018,223.75481033559632,39.42297588041574,40.39927452274453,8,1.0247647119611227,146.48577760998148,301.02384306121115,144.57223227101704,302.93738840017556,1.380852853299624e-08,3.0492548394560846e-08,***,***
2019,1842.2755923785862,740.0724433947597,697.801428040971,7,0.9428825978712451,391.7336033248573,3292.817581432315,474.58479341828297,3209.9663913388895,0.012798846007782626,0.008287804786353156,*,**
2020,345.28249571179475,36.100849503797235,40.39498590090306,6,1.1189483476463387,274.5248306843522,416.0401607392373,266.10832334602475,424.45666807756476,1.1286834602546952e-21,1.2561204363273143e-17,***,***
2021,1072.7752792050758,78.38050782553238,78.63474154846372,5,1.0032435835131006,919.1494838670324,1226.4010745431192,918.6511857700868,1226.8993726400647,1.2181960537012267e-42,2.23724296539729e-42,***,***
2024,-351.2366213905998,49.4549067622288,49.569714030995655,2,1.0023214535479528,-448.16823864456825,-254.30500413663134,-448.39326089135125,-254.0799818898483,1.228226202051514e-12,1.3833316325952096e-12,***,***
2025,536.2800466041841,162.0704010019571,162.11646844170266,1,1.0002842433871995,218.6220606403482,853.93803256802,218.5317684584469,854.0283247499214,0.000936523521340674,0.0009396735739708936,***,***
