year,ring,reference_ring,hajek_difference,spatial_hac_se,hac_n_units,hac_n_pairs_used,hac_truncated,hac_cutoff_km,hac_kernel
2001,0_5km,gt_50km,247.90084967182565,161.84533253815152,541942,50000000,True,25,bartlett
2001,10_25km,gt_50km,176.15787983596488,91.88294791595784,663802,50000000,True,25,bartlett
2001,25_50km,gt_50km,214.23570422576017,35.0254939415637,738756,50000000,True,25,bartlett
2001,5_10km,gt_50km,218.16191992898644,136.60762581525418,544705,50000000,True,25,bartlett
2002,0_5km,gt_50km,-103.89568827938365,117.5334034696347,526816,50000000,True,25,bartlett
2002,10_25km,gt_50km,-69.45418609249009,75.71892709206796,649873,50000000,True,25,bartlett
2002,25_50km,gt_50km,-33.534062553140984,29.062904316592643,718498,50000000,True,25,bartlett
2002,5_10km,gt_50km,-35.41099867553203,108.76703032822293,529321,50000000,True,25,bartlett
2003,0_5km,gt_50km,-171.72226381927453,86.13811588686718,524816,50000000,True,25,bartlett
2003,10_25km,gt_50km,-50.980014461336964,69.11869694069145,649689,50000000,True,25,bartlett
2003,25_50km,gt_50km,-34.62314215928245,21.084226247057437,714588,50000000,True,25,bartlett
2003,5_10km,gt_50km,-133.7116617085385,73.99210556534352,527411,50000000,True,25,bartlett
2004,0_5km,gt_50km,122.64616452788846,195.7457274839523,525249,50000000,True,25,bartlett
2004,10_25km,gt_50km,324.4379706781856,161.3044680163246,650514,50000000,True,25,bartlett
2004,25_50km,gt_50km,78.10573742662336,38.40007557787237,712941,50000000,True,25,bartlett
2004,5_10km,gt_50km,153.61202290887059,175.4897141536251,527747,50000000,True,25,bartlett
2005,0_5km,gt_50km,14.871113332961158,119.83309066044484,500583,50000000,True,25,bartlett
2005,10_25km,gt_50km,36.70389094047687,74.45798632866197,634459,50000000,True,25,bartlett
2005,25_50km,gt_50km,-45.97034714270535,29.765623792897856,692651,50000000,True,25,bartlett
2005,5_10km,gt_50km,78.2180527213552,111.3199409795149,503486,50000000,True,25,bartlett
2006,0_5km,gt_50km,292.4181578871662,114.66229142848769,486110,50000000,True,25,bartlett
2006,10_25km,gt_50km,390.9541924654493,94.62806425695814,624680,50000000,True,25,bartlett
2006,25_50km,gt_50km,413.9937264801313,32.09322079248867,680844,50000000,True,25,bartlett
2006,5_10km,gt_50km,399.84118436165045,113.9343848175281,489215,50000000,True,25,bartlett
2007,0_5km,gt_50km,-26.953630716085854,185.84333687400297,473643,50000000,True,25,bartlett
2007,10_25km,gt_50km,153.4573200459513,174.56729674338445,613943,50000000,True,25,bartlett
2007,25_50km,gt_50km,-17.127801600869134,39.64314162902551,665848,50000000,True,25,bartlett
2007,5_10km,gt_50km,154.1459466751803,204.01754906772317,476735,50000000,True,25,bartlett
2008,0_5km,gt_50km,-361.7889998601456,103.06320278117644,444043,50000000,True,25,bartlett
2008,10_25km,gt_50km,-167.30883077631256,69.52206214945674,593107,50000000,True,25,bartlett
2008,25_50km,gt_50km,-27.139389098782658,37.51458763235176,638204,50000000,True,25,bartlett
2008,5_10km,gt_50km,-305.65840394139946,96.57778179573764,447741,50000000,True,25,bartlett
2009,0_5km,gt_50km,240.48329542825013,108.04619323669314,413543,50000000,True,25,bartlett
2009,10_25km,gt_50km,326.94804503661317,67.01619590269594,569170,50000000,True,25,bartlett
2009,25_50km,gt_50km,331.09189924979887,37.69103499447101,599789,50000000,True,25,bartlett
2009,5_10km,gt_50km,327.2430029759596,106.55177103564696,416231,50000000,True,25,bartlett
2010,0_5km,gt_50km,206.36017390700977,99.91879619182916,403444,50000000,True,25,bartlett
2010,10_25km,gt_50km,259.6855410765195,70.6569825157097,561302,50000000,True,25,bartlett
2010,25_50km,gt_50km,229.05294815160732,31.156648450160297,589115,50000000,True,25,bartlett
2010,5_10km,gt_50km,200.3837957395299,91.49682963279464,406272,50000000,True,25,bartlett
2011,0_5km,gt_50km,351.00738933722255,131.5860025705975,382110,50000000,True,25,bartlett
2011,10_25km,gt_50km,312.1446704209818,75.21895273964144,539201,50000000,True,25,bartlett
2011,25_50km,gt_50km,88.2720890927028,30.338572681663674,549012,50000000,True,25,bartlett
2011,5_10km,gt_50km,330.58094829177867,106.08210693491303,384213,50000000,True,25,bartlett
2012,0_5km,gt_50km,314.44139477871977,90.51122121440555,377251,50000000,True,25,bartlett
2012,10_25km,gt_50km,623.4234875091379,63.92614279174705,535770,50000000,True,25,bartlett
2012,25_50km,gt_50km,277.39915702731014,34.14624835170421,539833,50000000,True,25,bartlett
2012,5_10km,gt_50km,554.4059727701404,97.8274106321678,379353,50000000,True,25,bartlett
2013,0_5km,gt_50km,-328.5501980946068,66.31818881563248,378540,50000000,True,25,bartlett
