ring,event_time,att,se,n_cohort_years,mean_n_exposed,mean_n_reference,ci_low,ci_high
0_5km,-8,442.73651994952485,293.96544193903156,12,12673.083333333334,318297.5,-133.43574625097705,1018.9087861500268
0_5km,-7,456.638534016612,212.79161786144633,13,12172.692307692309,317345.92307692306,39.566963008177254,873.7101050250468
0_5km,-6,146.52898953689382,208.1949995094697,14,11670.5,318656.35714285716,-261.53320950166676,554.5911885754545
0_5km,-5,139.86313700244392,189.14521547387506,15,11070.466666666667,319574.13333333336,-230.86148532635116,510.587759331239
0_5km,-4,56.403390113152994,220.90496912068843,16,10623.4375,319876.0,-376.5703493633963,489.37712958970235
0_5km,-3,240.67511974601643,244.28552296347377,17,10050.470588235294,317906.76470588235,-238.12450526239212,719.474744754425
0_5km,-2,487.23839577299947,266.33417310487675,18,9537.611111111111,316196.3333333333,-34.77658351255894,1009.2533750585578
0_5km,-1,0.0,0.0,19,9221.105263157895,311632.2105263158,0.0,0.0
0_5km,0,7.658148440711539,127.53807730527528,19,9221.105263157895,311632.2105263158,-242.31648307762802,257.6327799590511
0_5km,1,-152.28251032107494,159.45531667586366,18,8960.444444444445,307275.05555555556,-464.8149310057677,160.2499103636178
0_5km,2,-158.94084078796146,210.37072101946137,17,7420.588235294118,302688.76470588235,-571.2674539861057,253.38577241018282
0_5km,3,-200.67164380412711,216.1037547531733,17,7308.705882352941,290791.4117647059,-624.2350031203467,222.89171551209253
0_5km,4,-198.49073133852357,256.34026710259417,17,7284.882352941177,276692.0588235294,-700.9176548596081,303.936192182561
0_5km,5,-385.79392604914256,228.74336145166615,16,7131.5625,269403.0,-834.1309144944082,62.543062396123105
0_5km,6,-402.0908877727569,238.52837902047503,15,5990.466666666666,260655.66666666666,-869.6065106528879,65.42473510737415
0_5km,7,-707.1712543120583,254.99712907945437,14,6350.928571428572,253648.85714285713,-1206.965627307789,-207.37688131632774
0_5km,8,-793.0184793475893,289.899143850509,13,3985.076923076923,248551.61538461538,-1361.2208012945869,-224.8161574005917
10_25km,-8,268.81950031148824,234.8420730059603,12,75327.5,318297.5,-191.47096278019393,729.1099634031705
10_25km,-7,122.5599884778741,174.84535214863698,13,72399.0,317345.92307692306,-220.13690173345438,465.2568786892026
10_25km,-6,59.173948044022765,191.53950671425204,14,69356.42857142857,318656.35714285716,-316.2434851159112,434.59138120395676
10_25km,-5,-9.625106108710574,173.11591226671712,15,66320.2,319574.13333333336,-348.93229415147607,329.68208193405496
10_25km,-4,-26.659814610496515,149.18618287690992,16,64120.25,319876.0,-319.06473304924,265.7451038282469
10_25km,-3,8.49035517536674,177.94785812086454,17,61054.882352941175,317906.76470588235,-340.28744674152773,357.2681570922612
10_25km,-2,253.10218554051704,159.96492679370536,18,58239.0,316196.3333333333,-60.429070975145464,566.6334420561795
10_25km,-1,0.0,0.0,19,56147.26315789474,311632.2105263158,0.0,0.0
10_25km,0,-116.15448214976533,113.89472987900048,19,56147.26315789474,311632.2105263158,-339.38815271260626,107.0791884130756
10_25km,1,-113.28098554618289,132.20360251969294,18,53800.22222222222,307275.05555555556,-372.400046484781,145.83807539241525
10_25km,2,-274.36386248394797,163.5863001827088,17,46410.17647058824,302688.76470588235,-594.9930108420572,46.26528587416129
10_25km,3,-256.77959205031175,170.273425748403,17,46096.529411764706,290791.4117647059,-590.5155065171816,76.95632241655818
10_25km,4,-403.69673297398793,164.1459839235372,17,45915.64705882353,276692.0588235294,-725.4228614641208,-81.97060448385503
10_25km,5,-501.8474649396648,197.8166221799544,16,43958.5,269403.0,-889.5680444123755,-114.12688546695415
10_25km,6,-640.6926081555671,198.39636093928348,15,37771.666666666664,260655.66666666666,-1029.5494755965628,-251.83574071457144
10_25km,7,-659.7494058675819,232.0056982963874,14,39573.28571428572,253648.85714285713,-1114.4805745285012,-205.0182372066626
10_25km,8,-886.3437611507118,248.32506577383273,13,26664.923076923078,248551.61538461538,-1373.060890067424,-399.6266322339996
25_50km,-8,209.28915327264272,192.00478966788086,12,126545.0,318297.5,-167.04023447640375,585.6185410216892
25_50km,-7,169.48588907576146,158.54975548391772,13,123422.69230769231,317345.92307692306,-141.27163167271726,480.2434098242402
25_50km,-6,102.28129767093243,164.82263837309674,14,119747.57142857143,318656.35714285716,-220.77107354033717,425.333668882202
25_50km,-5,64.42463860108872,165.28036476679586,15,116422.46666666666,319574.13333333336,-259.52487634183115,388.37415354400855
25_50km,-4,72.83776222225048,130.3428716497486,16,114012.1875,319876.0,-182.63426621125677,328.3097906557577
25_50km,-3,45.233734458493174,146.51398429742827,17,109228.70588235294,317906.76470588235,-241.93367476446622,332.4011436814526
25_50km,-2,131.69438022207714,117.84797940580968,18,104886.16666666667,316196.3333333333,-99.28765941330983,362.6764198574641
25_50km,-1,0.0,0.0,19,101717.63157894737,311632.2105263158,0.0,0.0
25_50km,0,-78.66773418159775,99.59957515120261,19,101717.63157894737,311632.2105263158,-273.8829014779549,116.54743311475937
25_50km,1,-150.9631268986711,136.02067343949585,18,97257.61111111111,307275.05555555556,-417.5636468400829,115.63739304274074
25_50km,2,-195.52941779894064,155.6692226786724,17,89657.23529411765,302688.76470588235,-500.6410942491386,109.58225865125729
25_50km,3,-232.99342787415426,161.11393471600098,17,89190.82352941176,290791.4117647059,-548.7767399175162,82.78988416920768
25_50km,4,-292.2637772598366,154.2882261880901,17,88807.17647058824,276692.0588235294,-594.6687005884933,10.141146068819978
25_50km,5,-362.36667863675854,205.73802096063343,16,84102.0625,269403.0,-765.6131997196001,40.87984244608299
